iter	Passed	Remaining
0	135	13378
1	137	6729
2	139	4503
3	141	3384
4	142	2706
5	144	2260
6	145	1936
7	147	1692
8	148	1505
9	150	1352
10	151	1223
11	152	1117
12	153	1027
13	154	948
14	155	878
15	156	820
16	157	767
17	158	720
18	159	679
19	160	641
20	161	608
21	162	576
22	163	548
23	165	522
24	166	499
25	167	477
26	169	457
27	170	437
28	171	419
29	172	402
30	173	385
31	174	370
32	175	356
33	176	343
34	178	330
35	178	318
36	179	306
37	180	295
38	181	284
39	182	274
40	183	264
41	184	254
42	185	245
43	186	236
44	186	228
45	187	220
46	188	212
47	189	205
48	190	198
49	191	191
50	192	184
51	193	178
52	194	172
53	195	166
54	196	160
55	197	154
56	197	149
57	198	143
58	199	138
59	200	133
60	201	128
61	202	124
62	203	119
63	204	114
64	205	110
65	206	106
66	207	102
67	208	98
68	209	94
69	210	90
70	211	86
71	212	82
72	213	78
73	214	75
74	215	71
75	216	68
76	217	64
77	218	61
78	219	58
79	220	55
80	221	51
81	222	48
82	223	45
83	224	42
84	224	39
85	225	36
86	226	33
87	227	31
88	228	28
89	229	25
90	230	22
91	231	20
92	231	17
93	232	14
94	233	12
95	234	9
96	234	7
97	235	4
98	236	2
99	237	0
