kabupaten,tahun,produksi_padi,curah_hujan,suhu,kelembaban,ipm,kemiskinan,sanitasi,air_bersih
Kabupaten Bogor,2004,617907,4088.0,26.3,76.0,73.98,3.63,,85.19
Kabupaten Bogor,2005,677630,3110.0,26.2,75.0,74.32,3.97,78.0,84.55
Kabupaten Bogor,2006,603956,3050.0,26.3,86.0,74.24,4.69,77.33,66.13
Kabupaten Bogor,2007,578693,3245.0,26.9,71.0,74.75,6.34,66.47,97.0
Kabupaten Bogor,2008,612533,4001.0,26.1,68.0,74.71,4.14,78.99,69.65
Kabupaten Bogor,2009,514743,3797.0,27.2,86.0,74.59,6.05,64.06,93.48
Kabupaten Bogor,2010,458914,4149.0,26.6,77.0,75.17,5.73,76.53,68.95
Kabupaten Bogor,2011,619466,4063.0,27.1,90.0,75.72,5.44,,65.84
Kabupaten Bogor,2012,466867,4110.0,27.2,80.0,75.38,4.59,62.69,74.56
Kabupaten Bogor,2013,659245,3742.0,27.4,81.0,75.38,4.76,78.88,91.65
Kabupaten Bogor,2014,565568,3859.0,26.5,77.0,76.26,2.37,67.77,68.96
Kabupaten Bogor,2015,623821,3709.0,26.6,81.0,77.4,3.5,94.01,96.76
Kabupaten Bogor,2016,591432,2262.0,26.0,73.0,75.31,4.09,69.75,94.97
Kabupaten Bogor,2017,593433,3010.0,26.4,82.0,76.22,4.4,86.66,72.84
Kabupaten Bogor,2018,521750,4342.0,27.5,89.0,77.63,5.13,66.53,66.35
Kabupaten Bogor,2019,675210,4562.0,27.2,80.0,76.5,3.97,66.1,87.8
Kabupaten Bogor,2020,648288,3291.0,26.4,73.0,76.12,3.21,83.1,91.97
Kabupaten Bogor,2021,642557,4329.0,28.2,77.0,80.26,3.26,82.16,76.19
Kabupaten Bogor,2022,708680,2811.0,27.0,88.0,76.23,5.46,60.32,68.35
Kabupaten Bogor,2023,668470,3520.0,25.9,87.0,77.16,4.75,68.3,75.74
Kabupaten Sukabumi,2004,1090730,2377.0,26.7,74.0,74.86,10.47,87.82,81.59
Kabupaten Sukabumi,2005,1272919,2651.0,28.9,84.0,75.05,9.56,82.59,70.84
Kabupaten Sukabumi,2006,1094454,3199.0,27.5,79.0,75.64,9.32,89.79,75.46
Kabupaten Sukabumi,2007,875097,2919.0,26.5,81.0,75.68,10.52,81.53,97.67
Kabupaten Sukabumi,2008,1142299,2159.0,,83.0,76.1,8.73,88.33,91.73
Kabupaten Sukabumi,2009,973111,3087.0,29.6,83.0,76.42,10.56,91.15,76.15
Kabupaten Sukabumi,2010,1001138,2666.0,27.0,80.0,76.3,10.31,61.07,66.23
Kabupaten Sukabumi,2011,858473,2535.0,27.9,80.0,77.18,9.16,,67.82
Kabupaten Sukabumi,2012,1140153,2434.0,28.5,84.0,77.41,7.46,87.83,73.94
Kabupaten Sukabumi,2013,1164084,2355.0,27.2,83.0,76.87,10.71,65.48,73.26
Kabupaten Sukabumi,2014,1432295,3025.0,26.5,86.0,78.73,10.84,74.69,73.18
Kabupaten Sukabumi,2015,1307789,3508.0,26.8,83.0,77.53,10.71,77.21,80.62
Kabupaten Sukabumi,2016,1089510,2100.0,28.2,69.0,78.35,11.32,77.61,93.26
Kabupaten Sukabumi,2017,888514,2249.0,27.5,81.0,76.27,8.63,92.91,83.99
Kabupaten Sukabumi,2018,1401816,2106.0,28.5,66.0,80.22,9.67,62.49,75.53
Kabupaten Sukabumi,2019,1026639,2469.0,27.8,82.0,79.19,7.72,85.73,91.51
Kabupaten Sukabumi,2020,991597,2485.0,27.7,84.0,81.22,10.28,71.93,95.71
Kabupaten Sukabumi,2021,1031927,2677.0,27.9,85.0,77.09,8.6,77.68,92.27
Kabupaten Sukabumi,2022,1248250,2625.0,27.4,79.0,81.8,8.05,70.26,75.85
Kabupaten Sukabumi,2023,1487829,3447.0,27.7,84.0,77.28,9.34,62.01,83.13
Kabupaten Cianjur,2004,753771,4164.0,24.5,81.0,66.76,6.5,93.15,97.54
Kabupaten Cianjur,2005,640794,2840.0,25.6,65.0,67.13,6.81,77.24,65.37
Kabupaten Cianjur,2006,619574,3243.0,25.5,85.0,67.31,4.13,,72.38
Kabupaten Cianjur,2007,602823,3321.0,25.3,,67.53,5.33,84.35,80.0
Kabupaten Cianjur,2008,814501,4465.0,24.7,86.0,67.9,5.28,72.37,84.26
Kabupaten Cianjur,2009,549926,2022.0,25.0,83.0,67.5,5.67,88.79,96.34
Kabupaten Cianjur,2010,767036,4242.0,25.2,79.0,68.91,5.47,88.37,97.58
Kabupaten Cianjur,2011,661000,3468.0,24.1,82.0,69.22,4.62,76.4,78.69
Kabupaten Cianjur,2012,678972,3239.0,24.9,82.0,69.96,5.59,93.07,93.04
Kabupaten Cianjur,2013,722568,,23.8,70.0,69.47,5.17,72.54,68.75
Kabupaten Cianjur,2014,715308,4616.0,24.8,90.0,70.31,5.57,74.12,69.42
Kabupaten Cianjur,2015,707414,4250.0,25.3,76.0,67.9,4.72,80.65,77.94
Kabupaten Cianjur,2016,781955,3185.0,24.9,64.0,70.78,5.64,93.23,69.85
Kabupaten Cianjur,2017,724457,3265.0,25.2,78.0,71.88,3.28,71.51,85.9
Kabupaten Cianjur,2018,677493,3226.0,24.1,83.0,69.61,5.33,66.03,71.35
Kabupaten Cianjur,2019,657154,2741.0,24.4,69.0,69.9,4.29,84.16,66.3
Kabupaten Cianjur,2020,743496,4064.0,25.3,75.0,71.95,4.69,76.96,85.4
Kabupaten Cianjur,2021,563075,2864.0,23.4,85.0,73.02,3.48,78.62,68.54
Kabupaten Cianjur,2022,847981,1666.0,24.3,73.0,70.59,4.67,71.46,68.95
Kabupaten Cianjur,2023,622470,3418.0,25.3,87.0,71.5,5.85,78.8,84.37
Kabupaten Bandung,2004,1287997,3265.0,22.8,83.0,69.26,7.47,66.53,74.41
Kabupaten Bandung,2005,1048254,2386.0,23.1,81.0,69.39,7.89,93.93,93.56
Kabupaten Bandung,2006,1033047,2720.0,23.9,73.0,70.01,6.49,86.93,71.17
Kabupaten Bandung,2007,1223059,2002.0,22.6,68.0,69.66,7.76,70.1,84.18
Kabupaten Bandung,2008,1119677,1790.0,23.2,80.0,70.06,8.72,68.91,87.49
Kabupaten Bandung,2009,1033027,2613.0,24.5,62.0,70.28,6.66,89.07,96.85
Kabupaten Bandung,2010,1193845,2077.0,23.7,78.0,70.89,7.51,67.06,70.4
